city,colors,shape,state,time
Galveston,,sphere,TX,6/20/1950 17:00
Lac Du Flambeau,,disk,WI,6/30/1950 16:00
Florence,,disk,CO,6/30/1950 17:30
Florence,,light,CO,6/30/1950 17:30
Coeur d'Alene,ORANGE,cigar,ID,7/2/1950 13:00
Bay St. Louis,,light,MS,7/2/1950 21:00
East Palestine,,light,OH,7/10/1950 20:30
Newark,,sphere,NJ,7/15/1950 21:30
Los Padres National Forest,,formation,CA,7/15/1950 23:00
Smithport,,disk,PA,7/20/1950 21:30
Louisville,,other,KY,8/1/1950 4:00
Stanfield,,disk,OR,8/15/1950 14:00
Pikeville,,disk,KY,10/1/1950 11:00
Sandy Hook,,triangle,NJ,10/15/1950 15:00
Half Moon Bay,,other,CA,12/12/1950 22:00
Palm Springs,,cigar,CA,1/20/1951 4:30
Thompsonville,,disk,CT,2/3/1951 22:00
Los Angeles,,disk,CA,2/15/1951 11:00
Irving,BLUE,disk,KS,4/15/1951 0:30
Fort Sill,,oval,OK,5/15/1951 3:00
Oklahoma,,cigar,OK,6/1/1951 19:00
Jasper,,oval,NC,6/3/1951 13:00
Mount Pinos,,disk,CA,6/6/1951 2:00
Greenville,GREEN,disk,MS,6/15/1951 20:30
Jackson Heights,,disk,NY,6/30/1951 7:00
Birmingham,,,AL,6/30/1951 19:00
Otis Orchards,,disk,WA,7/1/1951 3:00
Atlanta,,,GA,7/1/1951 14:00
Calaveras County,,disk,CA,7/3/1951 3:00
Green River,GREEN,sphere,WY,7/3/1951 12:00
Provo,BLUE,disk,UT,7/10/1951 23:30
Spokane Valley,,sphere,WA,7/15/1951 14:00
Sunland,,circle,CA,8/10/1951 1:00
Altoona,,disk,PA,8/15/1951 13:00
Jacksonville,,disk,FL,10/15/1951 20:00
Holloman AFB,,circle,NM,11/15/1951 6:00
Salt Lake City,,,UT,1/1/1952 0:00
Binghamton,,disk,NY,2/10/1952 21:00
Nellis AFB,,disk,NV,2/17/1952 18:00
Chicago,,disk,IL,4/15/1952 13:00
Greenville,ORANGE,triangle,TX,4/15/1952 16:00
Pittsburgh,,cylinder,PA,5/15/1952 10:15
Allyn,,disk,WA,5/15/1952 20:00
Dousman,,,WI,6/1/1952 11:00
Norfolk,RED,fireball,VA,6/1/1952 22:00
Evergreen,,disk,CO,6/6/1952 13:00
Chicago,,circle,IL,6/10/1952 12:00
Fortville,,disk,IN,6/13/1952 7:30
Luke Airforce Base,,egg,AZ,6/15/1952 0:00
Piedra Blanka,,cigar,CA,6/15/1952 0:00
Jacksonville,,triangle,FL,6/15/1952 21:00
Maywood,,circle,CA,6/15/1952 23:00
Lansing,,other,MI,6/21/1952 22:00
Chester,,oval,PA,6/22/1952 17:45
Cheyenne,,disk,WY,6/30/1952 0:00
Pecos,,disk,TX,6/30/1952 3:00
Barksdale AFB,,,LA,6/30/1952 6:00
Miami,,light,FL,6/30/1952 9:00
New York City,,disk,NY,6/30/1952 13:00
Auburn,,oval,WA,6/30/1952 18:30
Miami,,disk,FL,6/30/1952 21:00
Miami,,disk,FL,6/30/1952 21:00
Miami,,light,FL,6/30/1952 21:00
Sebeka,,other,MN,7/1/1952 15:00
Detroit,,sphere,MI,7/1/1952 22:00
Tacoma,,sphere,WA,7/5/1952 16:00
Evergreen,,circle,CO,7/7/1952 10:00
Arlington,,disk,TX,7/7/1952 13:00
Arlington,GREEN,oval,VA,7/13/1952 21:00
Wilmington,,disk,CA,7/15/1952 12:00
,,disk,CA,7/15/1952 12:30
Litchfield,,other,PA,7/15/1952 13:00
South Gate,,circle,CA,7/15/1952 14:00
North Bend,,other,WA,7/15/1952 18:30
New York City,,other,NY,7/15/1952 19:00
Okolona,,oval,MS,7/22/1952 9:30
Tacoma,,sphere,WA,7/25/1952 16:00
Manville,,sphere,RI,7/30/1952 15:00
Tampa,,oval,FL,8/1/1952 21:30
Smithson's Valley,,cigar,TX,8/15/1952 17:00
Prairie Grove,,disk,AR,8/15/1952 17:30
Hamilton,,light,OH,8/15/1952 22:15
Philadelphia,,circle,PA,9/9/1952 20:00
Norridgewock,,disk,ME,9/15/1952 14:00
Kansas City,,disk,MO,10/1/1952 12:00
Richland,,circle,WA,10/15/1952 21:00
Chicago,,other,IL,12/6/1952 19:00
Camp McCoy,,cylinder,WI,12/30/1952 12:00
Nebraska,,,NE,1/1/1953 0:00
Oklahoma,,cigar,TX,1/1/1953 14:00
Palm Springs,,,CA,3/15/1953 0:00
Haverhill,,chevron,MA,4/1/1953 15:00
Cambridge,RED,sphere,MA,4/1/1953 18:00
Chariton,,other,IA,4/10/1953 13:00
Los Angeles,,fireball,CA,4/15/1953 12:00
Midwest City,YELLOW,fireball,OK,4/15/1953 16:00
Jamison,,cigar,PA,4/30/1953 16:00
Kingman,,,AZ,5/20/1953 8:00
Fresno,,,CA,6/1/1953 21:00
Roswell,,,NM,6/15/1953 0:00
Wenatchee,,disk,WA,6/15/1953 12:00
Fort Worth,,sphere,TX,6/15/1953 13:00
North Bend,,circle,WA,6/15/1953 18:00
Galveston,,cigar,TX,6/17/1953 7:30
Cleveland,RED,fireball,OH,6/30/1953 0:00
Kelso,,oval,WA,6/30/1953 15:00
Colorado Springs,,disk,CO,7/1/1953 5:30
,BLUE,disk,MT,7/4/1953 14:00
Ogallala,,other,NE,7/4/1953 21:00
Nashville,,cylinder,TN,7/15/1953 13:00
Dublin,,cone,IN,7/17/1953 22:00
Berkeley,,fireball,MO,8/1/1953 12:00
"San Bernadino Mtns, Church Camp",,disk,CA,8/1/1953 14:00
Vallejo,,light,CA,8/7/1953 21:00
Louisville,,circle,KY,8/15/1953 11:00
Artesia,ORANGE,other,NM,8/15/1953 19:00
Bowleys Quarters,,sphere,MD,8/15/1953 21:00
Homer,,,PA,9/15/1953 14:00
Mauriceville,,disk,TX,10/15/1953 14:00
New Orleans,,oval,LA,10/31/1953 19:00
Cicero,,other,IL,11/13/1953 20:00
Keansburg,,circle,NJ,11/15/1953 3:00
Pendleton,GREEN,disk,IN,11/21/1953 22:30
Lackland Air Force Base,,disk,TX,11/25/1953 4:25
Brunswick,,,ME,1/1/1954 0:00
Lakeland,,disk,FL,1/1/1954 1:00
Souix City,,circle,IA,1/1/1954 22:00
Santa Monica,,light,CT,1/15/1954 20:00
Fairbanks,,,AK,2/1/1954 2:00
Burney,,disk,CA,2/15/1954 19:30
Stanford Campus,,disk,CA,4/1/1954 22:00
Corvallis,,diamond,OR,5/15/1954 12:00
Quincy,,disk,IL,5/26/1954 4:30
Houston,,disk,TX,6/1/1954 0:00
Ovid,,disk,NY,6/1/1954 6:00
Springfield,,cylinder,IL,6/1/1954 8:00
El Cerrito,,light,CA,6/1/1954 19:00
Toledo,,disk,OH,6/1/1954 19:00
Norfolk,,disk,VA,6/1/1954 20:00
Philadelphia,,disk,PA,6/1/1954 20:00
Fish Canyon,,light,CA,6/1/1954 23:00
Atlanta,,disk,GA,6/6/1954 10:00
Estes Park,,cigar,CO,6/10/1954 20:00
Glenburn,,,ME,6/11/1954 2:00
Palm Beach,,light,CA,6/15/1954 11:00
Claymont,,disk,DE,6/15/1954 11:45
Ellington AFB,,disk,TX,6/15/1954 16:30
Lorton,,other,VA,6/23/1954 2:00
Langley Air Force Base,,circle,VA,6/23/1954 23:00
Thrifty,,circle,TX,6/25/1954 3:30
Marion,,circle,VA,6/30/1954 0:00
Methuen,,,MA,6/30/1954 0:00
Hawthorne,,light,CA,6/30/1954 12:00
Pasadena,,circle,CA,6/30/1954 15:00
St. Louis Airport,RED,oval,MO,7/1/1954 21:00
Los Angeles,RED,circle,CA,7/1/1954 22:00
Walnut Creek,,,CA,7/7/1954 20:00
West Columbia,,formation,SC,7/7/1954 22:00
Morroco,,various,IN,7/12/1954 17:30
Philadelphia,,disk,PA,7/15/1954 11:00
Greenfield,,cigar,IN,7/15/1954 14:00
Kansas City,,chevron,KS,7/15/1954 21:00
Oakdale,,disk,NY,7/15/1954 21:00
Bridge Hampton,,light,NY,7/15/1954 22:00
Farmingdale,,oval,NY,8/1/1954 12:00
Dyer,,triangle,IN,8/1/1954 17:00
Canton,,disk,PA,8/1/1954 21:00
North Hollywood,,light,CA,8/1/1954 22:00
Puyallup,,oval,WA,8/15/1954 21:00
Geneva,,disk,NY,9/1/1954 13:00
Beaumont,RED,disk,TX,9/9/1954 12:30
Palmer Township,,other,PA,9/15/1954 9:30
Flatwoods,,circle,WV,10/1/1954 19:00
Blanco,,other,TX,10/15/1954 16:30
Manistee,,circle,MI,10/15/1954 21:30
Denver,,fireball,CO,11/1/1954 18:30
Thelma,,disk,TX,11/14/1954 1:00
Red Bank,ORANGE,circle,NJ,12/15/1954 23:10
Yucaipa,,oval,CA,12/16/1954 16:50
New York City,,light,NY,2/15/1955 19:00
Holbrook,YELLOW,egg,MA,5/1/1955 15:00
Warrington,,fireball,FL,5/15/1955 3:00
Homaland,,circle,CA,6/1/1955 0:00
Bagley,,circle,MN,6/1/1955 2:00
Cincinnati,,disk,OH,6/1/1955 15:29
Martinez,,circle,CA,6/1/1955 17:00
Clinton,,egg,TN,6/1/1955 20:30
Pensacola,,light,FL,6/6/1955 1:00
South St. Paul,,disk,MN,6/15/1955 0:00
Terre Haute,ORANGE,circle,IN,6/15/1955 0:00
Missouri,,light,MO,6/15/1955 4:30
Youngstown,,,PA,6/15/1955 8:00
Daytona Beach,,fireball,FL,6/15/1955 21:00
Rantoul,,light,IL,6/17/1955 7:00
Beach Haven Park,,disk,NJ,6/23/1955 7:00
Quartz Hill,,disk,CA,6/30/1955 0:00
Lubbock,,cigar,TX,6/30/1955 13:00
Dumas,,light,TX,6/30/1955 21:00
Morehead City,,disk,NC,6/30/1955 21:00
Carnation,,disk,WA,7/1/1955 14:00
Dierks,,cigar,AR,7/1/1955 22:00
Woodland Park,,oval,CO,7/15/1955 14:00
Ringold,,light,LA,7/15/1955 22:00
Newtown Square,,circle,PA,8/6/1955 19:00
Independence,,fireball,MO,8/8/1955 1:00
Madisonville,,light,KY,8/14/1955 1:00
Eagle Pass,,cigar,TX,8/15/1955 0:01
Covina,,disk,CA,8/17/1955 21:00
Bullhead,,disk,AZ,9/10/1955 23:00
Mono Lake,,circle,CA,10/1/1955 22:00
West Covina,GREEN,,CA,10/9/1955 18:00
Rhinebeck,,light,NY,10/15/1955 20:00
Weirton,,disk,WV,1/1/1956 5:30
Petaluma,,oval,CA,3/1/1956 13:00
Bowie,,disk,MD,3/20/1956 20:00
Hampton,,sphere,MN,3/22/1956 17:30
Canton,,cigar,OH,5/1/1956 12:00
Pine castle AFB,,light,FL,5/15/1956 20:00
Ada,,circle,OK,5/17/1956 10:22
Belton,,other,MO,6/1/1956 19:00
Memphis,ORANGE,cylinder,TN,6/1/1956 20:00
Elmore,,sphere,AL,6/5/1956 0:00
Salt Lake City,,circle,UT,6/5/1956 0:00
Upper Glade,,egg,WV,6/6/1956 12:00
Akron,,other,OH,6/6/1956 22:00
Edroy,,,TX,6/15/1956 1:00
San Francisco,,other,CA,6/15/1956 12:15
Palo Alto,,fireball,CA,6/15/1956 18:00
Richfield Springs,,cigar,NY,6/15/1956 18:00
Vista,ORANGE,cigar,CA,6/15/1956 19:15
Farragut,,cigar,TN,6/15/1956 20:00
Tulsa,,flash,OK,6/15/1956 20:00
Salem,,disk,NJ,6/15/1956 20:32
New York City,,light,NY,6/15/1956 21:00
Cincinnati,,disk,OH,6/16/1956 13:00
Madera,,sphere,CA,6/24/1956 14:00
Willow Grove,,light,PA,6/30/1956 1:00
Cape Girardeau,,diamond,MO,6/30/1956 13:00
New Brunswick,,disk,NJ,6/30/1956 16:00
Houston,,triangle,TX,6/30/1956 18:30
Beatrice,,other,NE,7/1/1956 16:00
Wichita,,,KS,7/12/1956 19:00
Sacramento,,disk,CA,7/14/1956 19:30
East Hampton,,disk,CT,7/15/1956 0:00
Yellowstone Park,,disk,WY,7/15/1956 0:00
Sugarcreek,,disk,OH,7/15/1956 5:00
Harvard,,,MA,8/1/1956 20:00
Bradford,YELLOW,sphere,AL,8/1/1956 23:30
Norfolk,,cigar,VA,9/9/1956 5:55
Middle River,BLUE,circle,MD,9/15/1956 20:00
Hope,,circle,AR,9/20/1956 16:00
Greenwich,,light,CT,9/21/1956 0:00
Newport,,rectangle,NH,10/1/1956 19:00
Edna,,circle,TX,10/10/1956 21:00
Mt. Vernon,,disk,IN,10/15/1956 21:30
Aberdeen,ORANGE,circle,SD,11/15/1956 18:30
Painsville,,rectangle,OH,11/27/1956 22:00
Columbus,,formation,OH,12/1/1956 23:00
Dallas,,,TX,1/1/1957 21:00
Jena,,sphere,LA,3/5/1957 19:30
Fort Devans,,oval,MA,3/7/1957 4:00
Los Angeles,,formation,CA,3/15/1957 13:00
Los Angeles,,disk,CA,3/15/1957 15:00
Canton,,cigar,OH,5/1/1957 12:00
Rhinebeck,,diamond,NY,5/25/1957 13:00
Union Bower are irving,,formation,TX,6/1/1957 0:00
El Paso,,disk,TX,6/1/1957 10:00
E. Los Angeles,,light,CA,6/1/1957 12:00
Glens Falls,,disk,NY,6/1/1957 20:00
Irving,,light,TX,6/1/1957 22:00
Hicksville,,circle,NY,6/6/1957 22:00
Green Lake,,oval,MI,6/12/1957 19:00
Livermore Falls,,diamond,ME,6/14/1957 10:00
Great Falls,,,MT,6/15/1957 0:00
Hartford City,,disk,IN,6/15/1957 13:00
Walled Lake,,cylinder,MI,6/15/1957 23:30
San Leandro,,light,CA,6/19/1957 21:00
Lubbock,,triangle,TX,6/21/1957 17:00
Norwalk,,disk,CA,6/21/1957 19:30
Arctic,,cigar,AK,6/30/1957 0:00
Dallas,,other,TX,6/30/1957 0:00
Birmingham,,,MI,6/30/1957 3:30
New York City,,teardrop,NY,6/30/1957 12:00
Burlington,,circle,IA,6/30/1957 13:00
Russellville,ORANGE,sphere,AR,6/30/1957 18:00
Barker,,disk,NY,6/30/1957 20:00
Albany,,circle,CA,6/30/1957 21:00
Mullens,,oval,WV,7/1/1957 13:00
Talcott,,sphere,WV,7/1/1957 13:00
Del Rio,,cigar,TX,7/1/1957 20:00
Phillipsburg,,cigar,NJ,7/10/1957 20:00
Baltimore,,other,MD,7/10/1957 22:00
Chesapeake,,disk,OH,7/13/1957 9:00
Temple City,,light,CA,7/15/1957 12:00
Houston,,diamond,TX,7/15/1957 13:00
Williamsport,,cigar,PA,7/15/1957 14:00
Long Beach,,disk,CA,7/15/1957 15:00
Denver,,light,CO,7/15/1957 22:00
Kresgeville,,,PA,7/15/1957 22:00
Salt  Lake City,,disk,UT,7/15/1957 22:00
Kansas City,RED,light,MO,7/15/1957 23:30
Arco,,disk,ID,8/1/1957 12:00
Vandalia,,disk,OH,8/3/1957 20:00
Bainbridge,,fireball,MD,8/4/1957 2:00
Indianapolis,,light,IN,8/7/1957 1:00
San Diego,,disk,CA,8/9/1957 0:30
Ticonderoga,,disk,NY,8/14/1957 16:00
California,,fireball,CA,8/14/1957 21:00
Longview,,triangle,WA,8/15/1957 1:00
Ludlow,,cigar,MA,8/15/1957 1:00
Exeter,,disk,NH,8/15/1957 21:00
Auburn,,,MA,8/15/1957 21:30
Smith's Ferry,,disk,ID,8/16/1957 21:30
Huntington,,triangle,IN,8/17/1957 23:00
Graham,,sphere,TX,9/1/1957 16:00
Brecksville,,circle,OH,9/1/1957 23:00
Los Gatos,,disk,CA,9/5/1957 17:30
St. Paul,,disk,MN,9/10/1957 19:15
El Paso,,disk,TX,9/15/1957 4:00
Lake Jackson,,fireball,TX,9/15/1957 21:30
Tacoma,,disk,WA,9/15/1957 23:00
Hopkinsville,,cigar,KY,9/20/1957 0:00
Nelchina,,,AK,10/1/1957 16:00
Martelle,,cigar,IA,10/1/1957 20:30
Paterson,,disk,NJ,10/1/1957 21:00
Northeast Cape AFS,,,AK,10/1/1957 22:00
St. Paul,,light,MN,10/5/1957 19:00
England,,disk,AR,10/15/1957 1:45
New York City,,,NY,10/15/1957 2:00
Houston,,light,TX,10/15/1957 20:30
Commerce City,,fireball,CO,10/15/1957 22:00
Teaneck,,cylinder,NJ,11/10/1957 17:00
Corpus Christi,,light,TX,11/10/1957 19:00
St Lawrence Island,,other,AK,11/10/1957 20:00
Madison,,cigar,WI,12/28/1957 0:00
Madison,,cigar,WI,12/28/1957 0:00
Pep,,fireball,TX,1/1/1958 22:00
Howell,,cigar,MI,2/15/1958 2:30
Winooski,,oval,VT,4/17/1958 21:30
Winooski,,oval,VT,4/17/1958 21:30
Palmer Park,,sphere,MD,5/5/1958 20:00
North Hollywood,,circle,CA,5/7/1958 10:00
Cincinnati,,diamond,OH,5/16/1958 0:00
North Hollywood,,sphere,CA,5/20/1958 0:00
Middlesex,,circle,NC,6/1/1958 2:00
San Francisco,,oval,CA,6/1/1958 19:00
New York City,,oval,NY,6/1/1958 21:00
Timpson,,light,TX,6/1/1958 22:00
Grand Island,,circle,NE,6/1/1958 22:30
Cincinnati,,diamond,OH,6/6/1958 9:30
Baldwin Park,,cigar,CA,6/10/1958 12:00
Florala ?,,disk,AL,6/15/1958 0:00
Mountain View,,other,MO,6/15/1958 0:00
Coffeyville,,cigar,KS,6/15/1958 15:00
Yonkers,,light,NY,6/15/1958 15:00
Menlo Park,,light,CA,6/15/1958 19:15
Houston,,disk,TX,6/15/1958 20:00
Oklahoma,,light,OK,6/15/1958 22:00
Pawnee,,,OK,6/15/1958 23:00
Pawnee,,light,OK,6/15/1958 23:00
Silverdale,,cylinder,WA,6/30/1958 12:00
Conyers,,teardrop,GA,6/30/1958 13:00
Camden,,disk,ME,6/30/1958 16:00
Fort Worth,,disk,TX,6/30/1958 20:00
Durham,,light,KS,6/30/1958 21:30
Thibodaux,,fireball,LA,6/30/1958 23:00
Osmond,,,NE,7/1/1958 4:48
Muncie,,,IN,7/1/1958 21:00
Cheektowaga,,teardrop,NY,7/10/1958 9:00
Woodland Hills,,light,FL,7/10/1958 17:00
no data,,disk,UT,7/11/1958 23:00
Novato,,disk,CA,7/15/1958 17:30
Rock Springs,,disk,WY,7/20/1958 21:30
Randallstown,,triangle,MD,7/30/1958 22:00
Derby,,disk,CT,8/1/1958 19:00
Scarborough,,disk,ME,8/8/1958 15:00
Bellevue,,light,WA,8/10/1958 21:30
Monroe,,oval,GA,8/15/1958 14:00
Fargo,,disk,ND,9/1/1958 20:00
Perry,RED,triangle,IA,9/1/1958 21:00
Arthur,,,ND,9/7/1958 19:00
Ashland,,circle,KY,9/14/1958 19:30
Davis Jct.,,fireball,IL,9/20/1958 22:20
Phelps County,,disk,NE,9/25/1958 19:00
St. Paul,,other,MN,10/20/1958 21:00
Terrebonne,,,OR,10/25/1958 20:00
Riverside,,light,IL,10/30/1958 1:00
Greenville,,disk,RI,11/15/1958 22:30
Milwaukee,,disk,WI,11/25/1958 23:00
South San Francisco,,disk,CA,1/10/1959 18:30
New York City,,,NY,3/1/1959 23:00
Miami,,sphere,FL,4/1/1959 1:00
Mendham,,disk,NJ,4/15/1959 21:00
Baden,,cylinder,PA,4/26/1959 19:00
Columbus,,light,OH,5/1/1959 18:30
El Sobrante,YELLOW,circle,CA,5/5/1959 9:00
Evanston,,,IL,5/15/1959 4:00
Cincinnati,,disk,OH,5/30/1959 17:00
Wabash River,,circle,IN,6/1/1959 8:00
Nashville,,,TX,6/1/1959 12:00
Orange,,cylinder,CT,6/1/1959 12:00
Sidney,,light,OH,6/1/1959 18:30
Nelson,,cigar,NE,6/1/1959 22:00
Arvada,,circle,CO,6/5/1959 13:00
Monroe,,,MI,6/10/1959 13:00
Missoula,,,MT,6/15/1959 1:00
Minneapolis,,other,MN,6/15/1959 8:30
Campbell,,disk,CA,6/15/1959 10:00
Buffalo,,light,WV,6/15/1959 23:00
Minneapolis,,formation,MN,6/23/1959 22:00
Globe,,rectangle,AZ,6/28/1959 13:00
Campbellsport,,circle,WI,6/30/1959 14:00
New York City,,oval,NY,6/30/1959 20:00
Phoenix,,disk,AZ,6/30/1959 21:00
Strathmore,,disk,CA,7/1/1959 1:00
Castle Rock,,cigar,WA,7/1/1959 20:00
Gardner Lake,,oval,ME,7/4/1959 20:00
Long Beach,,light,CA,7/7/1959 23:00
Nort Sutton,,,NH,7/15/1959 12:00
New Albany,,cigar,IN,7/15/1959 23:00
Worcester,,other,MA,7/16/1959 18:00
Salem,,disk,OH,7/19/1959 1:00
Fort Lauderdale,,light,FL,7/20/1959 21:30
Allendale,,light,KY,7/22/1959 14:30
Golden,,disk,TX,8/1/1959 18:00
Reseda,,disk,CA,8/10/1959 1:30
Troy,,,NY,8/13/1959 21:00
Jewett,,light,NY,8/13/1959 22:30
Roswell,,,NM,8/15/1959 15:00
Mohave,,light,CA,8/15/1959 21:00
Lake Bonita,,fireball,NM,8/20/1959 3:00
Fallon,,oval,NV,9/15/1959 0:00
Goldfield,,light,NV,9/15/1959 1:00
Dayton,,disk,OH,9/15/1959 11:30
New York City,,other,NY,10/1/1959 16:00
Jacksonville,,,IL,10/1/1959 19:00
Duluth,,,WI,10/1/1959 20:45
Duluth,,,WI,10/5/1959 18:30
Rock Hill,,triangle,SC,10/5/1959 19:00
Marysville,,other,WA,10/15/1959 0:00
Four States,RED,sphere,WV,10/16/1959 22:30
Starke,,sphere,FL,11/11/1959 20:00
Lafayette,,circle,IN,11/15/1959 1:30
Los Angeles,,disk,CA,12/20/1959 18:30
Tehachapi,,fireball,CA,12/30/1959 18:35
Del Mar,,,CA,12/30/1959 23:00
